Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2,9,1,0,106,6617.791228,0.009047619,0.026412307,1.777492546,0,Nov,3,2,1,1,Returning_Visitor,TRUE,TRUE
0,0,2,65.5,4,71.5,0,0.033333333,0,0,Nov,2,2,1,11,Returning_Visitor,TRUE,FALSE
2,67.5,0,0,7,393.5,0,0.025,0,0,Dec,2,2,1,2,New_Visitor,FALSE,FALSE
4,37.5,2,82,4,96.625,0,0.0175,0,0,Nov,2,2,9,2,New_Visitor,FALSE,FALSE
0,0,0,0,3,0,0.2,0.2,0,0,Nov,3,2,4,3,Returning_Visitor,TRUE,FALSE
9,181.275,2,65,120,3283.715359,0.004651163,0.024543027,2.442153455,0,Nov,1,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,62.75,0,0.04,0,0,Dec,2,2,6,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,12,292.875,0,0.028333333,0,0,Nov,4,2,3,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,37,2296.25,0,0.014864865,0,0,Nov,2,2,1,13,Returning_Visitor,FALSE,FALSE
4,59.2,0,0,5,38.35833333,0,0.043915344,0,0,Dec,3,2,8,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,21,476.8666667,0.00952381,0.034126984,0,0,Nov,3,2,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,11,435.3333333,0.063636364,0.104242424,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,597.625,0.007692308,0.034615385,0,0,Nov,3,2,1,8,Returning_Visitor,FALSE,TRUE
1,120.5,0,0,75,1677.805952,0.006578947,0.023128655,0,0,Dec,2,2,1,1,Returning_Visitor,FALSE,FALSE
2,170,1,22,39,1177.291667,0.002564103,0.01965812,0,0,Nov,2,5,7,2,Returning_Visitor,FALSE,FALSE
9,387.75,0,0,64,980.5021994,0.000866739,0.012798697,9.581561053,0,Nov,3,2,3,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,2,0,0.2,0.2,0,0,Nov,1,1,1,1,Returning_Visitor,FALSE,FALSE
2,44.5,0,0,35,1330.666667,0.005882353,0.014705882,0,0,Nov,2,2,6,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,24,1050.5,0.022727273,0.062121212,0,0,Dec,2,10,4,1,Returning_Visitor,FALSE,FALSE
4,101.3333333,7,693.5,171,9119.885413,0.00441989,0.021627971,0.686565227,0,Dec,2,2,3,10,Returning_Visitor,FALSE,FALSE
4,55,0,0,2,13,0,0.028571429,0,0,Dec,2,10,4,2,New_Visitor,FALSE,TRUE
0,0,0,0,48,1053.952381,0.005434783,0.009815547,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE,FALSE
4,192.5714286,8,1193.125,146,8150.556716,0.001290323,0.01127957,1.842913617,0,Nov,2,4,4,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,40,1385.666667,0.005,0.0225,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE,FALSE
5,39,0,0,13,137,0,0.011764706,0,0,Nov,2,4,3,2,New_Visitor,FALSE,TRUE
0,0,0,0,7,88,0.085714286,0.142857143,0,0,Nov,2,4,3,1,Returning_Visitor,FALSE,FALSE
1,3,0,0,11,1046.666667,0.005555556,0.025,0,0,Nov,3,2,1,10,Returning_Visitor,TRUE,FALSE
1,10,0,0,27,548.2833333,0.003703704,0.025308642,0,0,Dec,2,4,9,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,526.5,0.02,0.035,0,0,Nov,3,2,2,13,Returning_Visitor,FALSE,FALSE
6,190.9231928,0,0,7,603.2565261,0.021862348,0.034024526,0,0,Nov,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,67.75,0,0.05,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,17,559.75,0.011764706,0.019607843,0,0,Nov,1,1,3,3,Returning_Visitor,FALSE,FALSE
1,30.5,0,0,324,14213.63652,0.002063983,0.010072239,4.485584737,0,Nov,2,2,9,1,Returning_Visitor,TRUE,TRUE
0,0,0,0,2,8,0.15,0.15,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,1,0,44,2807.164836,0.025,0.027424242,0,0,Nov,1,1,4,2,Returning_Visitor,FALSE,TRUE
3,86.5,0,0,30,2623.916667,0.006666667,0.007619048,23.00194502,0,Dec,2,5,1,2,New_Visitor,TRUE,TRUE
0,0,0,0,85,2112.101515,0.003529412,0.014196078,0,0,Nov,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,34.5,0,0.1,0,0,Nov,2,2,3,3,Returning_Visitor,TRUE,FALSE
5,526.85,4,143.25,266,9770.812093,0.007348856,0.024720163,0.245152903,0,Nov,2,4,4,2,Returning_Visitor,TRUE,FALSE
12,209.375,0,0,43,2754.117424,0.0046875,0.033875153,13.68108942,0,Dec,3,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,45,1682.25,0.026666667,0.057777778,0,0,Nov,2,2,4,1,Returning_Visitor,FALSE,FALSE
5,64.9,0,0,21,1922.15,0,0.009333333,60.62885042,0,Nov,3,2,1,2,New_Visitor,FALSE,TRUE
0,0,0,0,17,1293.083333,0,0.013333333,0,0,Dec,2,5,7,2,New_Visitor,FALSE,FALSE
0,0,0,0,3,34,0,0.066666667,0,0,Dec,2,2,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,5,1,1,Returning_Visitor,FALSE,FALSE
3,238.05,5,1488,104,3275.87381,0.003030303,0.010822511,1.560184165,0,Nov,1,1,3,10,Returning_Visitor,FALSE,TRUE
0,0,0,0,38,935,0,0.007769424,0,0,Nov,2,2,3,11,New_Visitor,FALSE,FALSE
0,0,0,0,14,208.9,0,0.014285714,0,0,Nov,1,8,4,11,Returning_Visitor,TRUE,FALSE
1,79,2,255,137,2668.725046,0.002138405,0.020907736,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
2,55.5,0,0,2,26,0,0.06,0,0,Dec,1,2,9,3,Returning_Visitor,TRUE,TRUE
